ND	182.0	415.0	400-3945	0.0	0.0	0.0	104.9	111.0	17.83	198.5	120.0	16.87	258.2	91.0	11.62	8.0	569.5999999999998	5.0	2.16	48.48	0.08511235955056182	2.0	0	cluster_3
DE	54.0	415.0	379-3953	1.0	0.0	0.0	214.1	77.0	36.4	240.5	94.0	20.44	188.9	75.0	8.5	10.1	653.6	3.0	2.73	68.07000000000001	0.10414626682986537	1.0	0	cluster_0
MI	137.0	510.0	355-9508	0.0	0.0	0.0	206.4	122.0	35.09	128.0	102.0	10.88	194.5	84.0	8.75	8.8	537.6999999999998	5.0	2.38	57.10000000000001	0.10619304444857733	2.0	0	cluster_5
IN	48.0	510.0	342-6696	0.0	0.0	0.0	300.4	94.0	51.07	133.2	103.0	11.32	197.4	94.0	8.88	7.2	638.2	5.0	1.94	73.21	0.11471325603259165	2.0	0	cluster_5
MT	160.0	415.0	329-8436	0.0	0.0	0.0	97.5	113.0	16.58	268.1	69.0	22.79	255.3	62.0	11.49	13.2	634.1000000000001	4.0	3.56	54.42	0.08582242548493926	3.0	0	cluster_1
VT	50.0	415.0	387-5891	1.0	1.0	26.0	307.1	94.0	52.21	289.4	78.0	24.6	174.9	109.0	7.87	8.0	779.4	3.0	2.16	86.84	0.11141904028740057	0.0	0	cluster_4
MD	189.0	415.0	411-1325	0.0	1.0	30.0	155.2	116.0	26.38	195.5	50.0	16.62	170.1	108.0	7.65	15.4	536.1999999999998	6.0	4.16	54.81	0.1022193211488251	1.0	0	cluster_2
LA	89.0	415.0	382-4024	0.0	0.0	0.0	141.1	92.0	23.99	249.1	126.0	21.17	136.0	73.0	6.12	10.8	537.0	2.0	2.92	54.2	0.10093109869646183	2.0	0	cluster_5
MD	102.0	415.0	349-7362	0.0	0.0	0.0	271.1	80.0	46.09	172.0	133.0	14.62	169.2	105.0	7.61	10.3	622.5999999999998	5.0	2.78	71.10000000000002	0.11419852232573088	1.0	0	cluster_5
FL	22.0	415.0	378-9506	0.0	0.0	0.0	181.8	108.0	30.91	198.6	148.0	16.88	206.6	96.0	9.3	9.3	596.3	3.0	2.51	59.6	0.0999496897534798	2.0	0	cluster_1
VA	16.0	510.0	368-2583	0.0	0.0	0.0	205.6	69.0	34.95	169.5	93.0	14.41	220.1	64.0	9.9	10.9	606.1	3.0	2.94	62.2	0.10262332948358356	0.0	0	cluster_1
SD	91.0	510.0	327-3850	0.0	0.0	0.0	149.0	115.0	25.33	245.3	105.0	20.85	260.0	94.0	11.7	8.3	662.5999999999998	3.0	2.24	60.12	0.09073347419257473	0.0	0	cluster_1
VT	68.0	415.0	396-6390	0.0	0.0	0.0	158.8	119.0	27.0	211.8	105.0	18.0	198.1	101.0	8.91	10.3	579.0	3.0	2.78	56.69	0.09791018998272884	1.0	0	cluster_1
NC	135.0	415.0	383-7689	0.0	0.0	0.0	201.8	81.0	34.31	225.0	114.0	19.13	204.4	82.0	9.2	10.3	641.5	6.0	2.78	65.42	0.10197973499610288	1.0	0	cluster_1
NV	137.0	415.0	338-1027	1.0	0.0	0.0	135.1	95.0	22.97	134.1	102.0	11.4	223.1	81.0	10.04	12.3	504.6	2.0	3.32	47.73	0.09458977407847799	2.0	1	cluster_0
ID	119.0	415.0	338-9952	1.0	1.0	32.0	173.0	101.0	29.41	209.4	93.0	17.8	231.1	91.0	10.4	12.2	625.7	4.0	3.29	60.9	0.09733098929199296	0.0	0	cluster_0
CT	74.0	408.0	384-3389	0.0	0.0	0.0	157.1	95.0	26.71	213.1	36.0	18.11	280.4	77.0	12.62	7.6	658.1999999999998	3.0	2.05	59.49	0.09038286235186876	2.0	0	cluster_1
GA	64.0	408.0	356-1952	0.0	0.0	0.0	124.1	117.0	21.1	192.8	108.0	16.39	162.9	84.0	7.33	6.4	486.19999999999993	5.0	1.73	46.55	0.09574249280131635	3.0	0	cluster_3
RI	56.0	415.0	383-6293	0.0	0.0	0.0	226.0	112.0	38.42	248.5	118.0	21.12	140.5	142.0	6.32	6.9	621.9	11.0	1.86	67.72000000000001	0.10889210484000646	1.0	0	cluster_5
RI	70.0	415.0	369-4962	0.0	0.0	0.0	134.7	96.0	22.9	235.9	90.0	20.05	260.2	113.0	11.71	7.6	638.4	6.0	2.05	56.71	0.08883145363408522	3.0	0	cluster_1
NM	188.0	415.0	369-6890	1.0	1.0	26.0	198.8	115.0	33.8	166.6	67.0	14.16	198.5	118.0	8.93	14.4	578.3	3.0	3.89	60.78	0.1051011585682172	1.0	1	cluster_0
NC	172.0	408.0	331-5962	0.0	1.0	47.0	274.9	102.0	46.73	186.6	118.0	15.86	245.0	123.0	11.03	8.8	715.3	2.0	2.38	75.99999999999999	0.10624912624073814	1.0	0	cluster_4
ME	62.0	415.0	358-1346	1.0	1.0	32.0	218.4	93.0	37.13	236.7	132.0	20.12	192.2	137.0	8.65	13.2	660.5	3.0	3.56	69.46000000000001	0.10516275548826648	0.0	1	cluster_0
NM	85.0	408.0	338-9210	0.0	1.0	37.0	229.6	123.0	39.03	132.3	90.0	11.25	211.9	76.0	9.54	9.5	583.3	8.0	2.57	62.39	0.10696039773701355	2.0	0	cluster_2
DE	138.0	510.0	380-7816	1.0	0.0	0.0	46.5	104.0	7.91	186.0	114.0	15.81	167.5	95.0	7.54	9.6	409.6	4.0	2.59	33.849999999999994	0.08264160156249999	4.0	1	cluster_3
OR	65.0	415.0	397-5060	0.0	0.0	0.0	116.8	87.0	19.86	178.9	93.0	15.21	182.4	150.0	8.21	14.1	492.2000000000001	2.0	3.81	47.09	0.09567249085737503	1.0	0	cluster_3
DE	30.0	415.0	349-4703	0.0	1.0	30.0	217.4	74.0	36.96	213.8	86.0	18.17	227.2	104.0	10.22	6.6	665.0000000000001	3.0	1.78	67.13000000000001	0.10094736842105263	0.0	0	cluster_4
OK	123.0	415.0	393-3635	0.0	1.0	27.0	198.7	127.0	33.78	249.0	105.0	21.17	173.2	124.0	7.79	12.5	633.4	5.0	3.38	66.12	0.10438901168298075	1.0	0	cluster_4
DE	99.0	415.0	415-1141	0.0	0.0	0.0	140.7	88.0	23.92	210.9	98.0	17.93	229.9	125.0	10.35	12.4	593.9	4.0	3.35	55.55	0.09353426502778245	2.0	0	cluster_1
CO	90.0	408.0	393-8199	0.0	1.0	30.0	183.8	76.0	31.25	229.7	95.0	19.52	144.1	124.0	6.48	7.7	565.3000000000002	3.0	2.08	59.33	0.10495312223598086	1.0	0	cluster_2
NH	50.0	408.0	339-4636	0.0	0.0	0.0	154.7	102.0	26.3	298.0	108.0	25.33	210.2	95.0	9.46	11.1	674.0	3.0	3.0	64.09	0.09508902077151336	0.0	0	cluster_1
DE	67.0	415.0	413-7743	1.0	1.0	35.0	181.1	59.0	30.79	215.9	116.0	18.35	216.3	106.0	9.73	16.9	630.1999999999998	4.0	4.56	63.43000000000001	0.10065058711520156	0.0	1	cluster_0
OH	146.0	415.0	358-3604	0.0	0.0	0.0	169.5	93.0	28.82	230.9	71.0	19.63	269.8	115.0	12.14	9.0	679.2	7.0	2.43	63.02	0.09278563015312132	2.0	0	cluster_1
WV	85.0	408.0	336-5616	0.0	0.0	0.0	225.0	81.0	38.25	176.9	63.0	15.04	194.3	110.0	8.74	7.1	603.3000000000002	2.0	1.92	63.95	0.10600033151002815	3.0	0	cluster_5
TN	130.0	408.0	401-2581	0.0	0.0	0.0	127.0	102.0	21.59	206.9	107.0	17.59	231.7	99.0	10.43	6.1	571.6999999999998	6.0	1.65	51.26	0.08966241035508137	0.0	0	cluster_3
AL	107.0	408.0	332-3804	0.0	0.0	0.0	86.8	95.0	14.76	108.1	85.0	9.19	204.3	87.0	9.19	13.2	412.4	3.0	3.56	36.7	0.08899127061105724	1.0	0	cluster_3
TX	123.0	408.0	416-6594	0.0	0.0	0.0	260.9	85.0	44.35	168.5	103.0	14.32	178.3	91.0	8.02	13.3	621.0	5.0	3.59	70.28	0.11317230273752013	3.0	0	cluster_5
MS	103.0	415.0	412-1470	0.0	0.0	0.0	129.3	103.0	21.98	202.8	89.0	17.24	233.0	126.0	10.49	12.9	578.0	2.0	3.48	53.19	0.09202422145328719	2.0	0	cluster_1
TX	126.0	415.0	386-9711	0.0	0.0	0.0	190.9	143.0	32.45	149.7	72.0	12.72	191.4	87.0	8.61	13.0	545.0	3.0	3.51	57.29	0.10511926605504587	1.0	0	cluster_5
FL	102.0	408.0	395-6913	0.0	1.0	29.0	214.7	86.0	36.5	314.3	109.0	26.72	280.2	110.0	12.61	14.3	823.5	2.0	3.86	79.69	0.09676988463873709	0.0	0	cluster_4
VT	103.0	510.0	390-2805	0.0	0.0	0.0	246.5	47.0	41.91	195.5	84.0	16.62	200.5	96.0	9.02	11.7	654.2	4.0	3.16	70.71	0.10808621216753285	1.0	0	cluster_5
WV	113.0	415.0	341-7686	0.0	0.0	0.0	61.2	111.0	10.4	92.3	88.0	7.85	197.4	114.0	8.88	13.7	364.6	3.0	3.7	30.83	0.08455842018650575	5.0	1	cluster_3
TX	130.0	415.0	396-8400	0.0	0.0	0.0	120.5	127.0	20.49	189.7	52.0	16.12	270.1	107.0	12.15	14.3	594.5999999999998	2.0	3.86	52.62	0.08849646821392536	1.0	0	cluster_1
ND	145.0	415.0	378-1936	0.0	0.0	0.0	245.8	116.0	41.79	286.7	91.0	24.37	240.7	115.0	10.83	9.0	782.2	13.0	2.43	79.42	0.10153413449245717	1.0	1	cluster_6
MN	50.0	415.0	350-8921	0.0	0.0	0.0	157.1	90.0	26.71	223.3	72.0	18.98	181.4	111.0	8.16	6.1	567.9	2.0	1.65	55.49999999999999	0.09772847332276809	1.0	0	cluster_1
VT	131.0	415.0	416-8394	0.0	0.0	0.0	175.1	73.0	29.77	171.9	116.0	14.61	131.1	94.0	5.9	7.3	485.4	6.0	1.97	52.24999999999999	0.107643180881747	1.0	0	cluster_5
GA	86.0	510.0	410-9961	0.0	0.0	0.0	124.1	82.0	21.1	202.6	120.0	17.22	289.6	119.0	13.03	6.7	623.0	8.0	1.81	53.16	0.0853290529695024	3.0	0	cluster_1
NC	103.0	510.0	379-2508	0.0	0.0	0.0	166.6	84.0	28.32	192.4	91.0	16.35	167.9	115.0	7.56	7.7	534.6	6.0	2.08	54.31	0.10158997381219603	1.0	0	cluster_5
MD	107.0	415.0	347-3406	0.0	0.0	0.0	294.9	71.0	50.13	192.8	78.0	16.39	148.1	87.0	6.66	13.2	649.0	5.0	3.56	76.74000000000002	0.11824345146379048	1.0	1	cluster_6
MT	74.0	408.0	339-7541	0.0	0.0	0.0	174.1	96.0	29.6	251.1	94.0	21.34	257.6	123.0	11.59	8.3	691.0999999999998	5.0	2.24	64.77	0.0937201562726089	2.0	1	cluster_1
KY	80.0	415.0	330-3008	0.0	0.0	0.0	220.0	114.0	37.4	207.7	76.0	17.65	168.4	137.0	7.58	12.1	608.2	3.0	3.27	65.89999999999999	0.10835251561986187	2.0	0	cluster_5
IN	36.0	415.0	405-8867	0.0	0.0	0.0	253.4	77.0	43.08	182.4	151.0	15.5	275.8	103.0	12.41	8.4	720.0	2.0	2.27	73.25999999999998	0.10174999999999997	1.0	0	cluster_1
PA	128.0	408.0	353-6038	1.0	0.0	0.0	245.2	112.0	41.68	101.5	101.0	8.63	152.3	116.0	6.85	10.7	509.7	5.0	2.89	60.05	0.11781440062782028	0.0	0	cluster_0
KS	52.0	415.0	413-4831	0.0	0.0	0.0	165.5	78.0	28.14	205.5	89.0	17.47	213.6	124.0	9.61	12.2	596.8000000000002	6.0	3.29	58.51	0.0980395442359249	0.0	0	cluster_1
RI	39.0	408.0	417-9455	0.0	0.0	0.0	93.3	83.0	15.86	199.6	114.0	16.97	206.2	104.0	9.28	6.5	505.6	4.0	1.76	43.87	0.08676819620253164	0.0	0	cluster_3
NY	78.0	510.0	362-2353	0.0	0.0	0.0	152.9	81.0	25.99	256.6	82.0	21.81	173.6	112.0	7.81	5.3	588.4	6.0	1.43	57.04	0.09694085656016316	2.0	0	cluster_1
IL	100.0	415.0	420-6121	0.0	0.0	0.0	191.9	95.0	32.62	200.9	101.0	17.08	271.9	74.0	12.24	18.2	682.9000000000002	3.0	4.91	66.85	0.09789134573143941	1.0	0	cluster_1
MN	173.0	510.0	372-7990	0.0	0.0	0.0	291.8	143.0	49.61	214.3	134.0	18.22	151.2	119.0	6.8	9.9	667.1999999999998	2.0	2.67	77.3	0.11585731414868108	0.0	1	cluster_6
WV	111.0	510.0	412-9997	0.0	0.0	0.0	214.3	118.0	36.43	208.5	76.0	17.72	182.4	98.0	8.21	12.0	617.2	2.0	3.24	65.6	0.10628645495787425	1.0	0	cluster_5
CT	74.0	510.0	380-3186	0.0	0.0	0.0	203.8	77.0	34.65	205.1	111.0	17.43	154.9	109.0	6.97	9.0	572.8	2.0	2.43	61.48	0.10733240223463687	1.0	0	cluster_5
NY	99.0	415.0	386-4581	0.0	0.0	0.0	145.6	102.0	24.75	230.9	87.0	19.63	181.5	86.0	8.17	11.4	569.4	7.0	3.08	55.63	0.09769933263083949	1.0	0	cluster_1
DC	100.0	510.0	403-2455	1.0	0.0	0.0	68.5	110.0	11.65	337.1	115.0	28.65	205.2	99.0	9.23	12.1	622.9	9.0	3.27	52.8	0.08476480976079627	0.0	0	cluster_0
AR	156.0	415.0	388-6223	0.0	0.0	0.0	178.8	94.0	30.4	178.4	97.0	15.16	169.2	77.0	7.61	7.5	533.9000000000002	3.0	2.03	55.2	0.1033901479677842	1.0	0	cluster_5
MN	38.0	510.0	399-5291	0.0	0.0	0.0	175.7	109.0	29.87	211.8	97.0	18.0	137.9	109.0	6.21	9.2	534.6	3.0	2.48	56.56	0.10579872802095024	5.0	1	cluster_5
SC	116.0	408.0	373-6922	0.0	0.0	0.0	288.0	120.0	48.96	255.8	90.0	21.74	233.4	99.0	10.5	13.4	790.5999999999998	4.0	3.62	84.82000000000002	0.10728560586896034	0.0	1	cluster_6
OK	146.0	510.0	377-4975	0.0	0.0	0.0	138.4	104.0	23.53	158.9	122.0	13.51	47.4	73.0	2.13	3.9	348.6	9.0	1.05	40.22	0.11537578886976477	4.0	1	cluster_3
IN	81.0	408.0	347-6717	0.0	1.0	46.0	168.3	124.0	28.61	270.9	103.0	23.03	222.5	98.0	10.01	6.7	668.4000000000002	2.0	1.81	63.46	0.09494314781567921	4.0	0	cluster_4
AR	115.0	415.0	385-7157	0.0	0.0	0.0	139.3	89.0	23.68	192.3	95.0	16.35	151.0	75.0	6.8	9.3	491.9	3.0	2.51	49.34	0.10030494002846108	7.0	1	cluster_3
AZ	109.0	415.0	404-3106	1.0	0.0	0.0	268.4	85.0	45.63	150.6	131.0	12.8	297.9	84.0	13.41	9.7	726.6	8.0	2.62	74.46000000000002	0.10247729149463257	2.0	1	cluster_6
GA	76.0	415.0	372-6497	0.0	0.0	0.0	299.5	125.0	50.92	226.7	92.0	19.27	210.7	134.0	9.48	13.7	750.6000000000001	4.0	3.7	83.37	0.11107114308553157	0.0	1	cluster_6
CA	138.0	510.0	388-6026	1.0	0.0	0.0	196.2	129.0	33.35	176.5	86.0	15.0	232.4	108.0	10.46	15.2	620.3000000000002	1.0	4.1	62.91	0.10141866838626468	0.0	1	cluster_0
TN	105.0	510.0	366-2622	0.0	0.0	0.0	119.3	82.0	20.28	185.1	111.0	15.73	157.0	74.0	7.07	10.9	472.3	4.0	2.94	46.02	0.09743806902392547	2.0	0	cluster_3
TX	38.0	510.0	413-9055	0.0	0.0	0.0	149.0	92.0	25.33	49.2	78.0	4.18	163.3	93.0	7.35	13.9	375.4	11.0	3.75	40.61	0.10817794352690464	0.0	0	cluster_3
FL	108.0	510.0	365-1688	0.0	0.0	0.0	210.7	112.0	35.82	238.7	73.0	20.29	253.6	90.0	11.41	9.2	712.2	5.0	2.48	70.0	0.09828699803426004	3.0	0	cluster_1
ID	138.0	415.0	339-7485	1.0	1.0	17.0	225.2	116.0	38.28	173.4	88.0	14.74	145.8	99.0	6.56	11.7	556.1000000000001	4.0	3.16	62.74000000000001	0.11282143499370616	0.0	0	cluster_0
FL	64.0	408.0	410-7108	0.0	1.0	31.0	228.6	88.0	38.86	248.5	109.0	21.12	167.1	124.0	7.52	9.0	653.2	1.0	2.43	69.93	0.10705756276791183	3.0	0	cluster_4
MO	196.0	415.0	393-2373	0.0	0.0	0.0	234.0	109.0	39.78	249.5	114.0	21.21	173.1	70.0	7.79	9.1	665.7	5.0	2.46	71.24	0.10701517199939911	2.0	0	cluster_5
OK	189.0	415.0	383-2537	0.0	0.0	0.0	208.3	106.0	35.41	236.7	123.0	20.12	179.1	120.0	8.06	11.3	635.4	5.0	3.05	66.64	0.10487881649354738	3.0	0	cluster_5
AR	33.0	415.0	411-8956	1.0	0.0	0.0	164.0	99.0	27.88	153.1	102.0	13.01	123.8	104.0	5.57	6.4	447.3	4.0	1.73	48.19	0.10773530069304717	0.0	0	cluster_0
MT	94.0	510.0	352-5815	0.0	0.0	0.0	163.5	136.0	27.8	143.7	111.0	12.21	253.4	82.0	11.4	12.6	573.2	5.0	3.4	54.81	0.09562107466852757	1.0	0	cluster_3
ND	71.0	510.0	373-8483	0.0	0.0	0.0	238.0	82.0	40.46	278.5	94.0	23.67	193.1	134.0	8.69	11.8	721.4	10.0	3.19	76.00999999999998	0.10536456889381755	0.0	1	cluster_6
IL	70.0	408.0	382-6827	0.0	0.0	0.0	208.7	97.0	35.48	275.5	83.0	23.42	182.5	122.0	8.21	8.0	674.7	3.0	2.16	69.27	0.10266785237883502	2.0	0	cluster_1
VA	118.0	415.0	392-3315	0.0	0.0	0.0	154.6	112.0	26.28	184.2	105.0	15.66	217.4	102.0	9.78	12.6	568.8	5.0	3.4	55.12	0.09690576652601969	2.0	0	cluster_3
NC	125.0	408.0	412-7020	0.0	0.0	0.0	212.3	89.0	36.09	215.4	127.0	18.31	186.8	73.0	8.41	11.3	625.8	2.0	3.05	65.86	0.10524129114733143	2.0	0	cluster_5
NE	105.0	415.0	397-7500	0.0	1.0	27.0	141.2	96.0	24.0	167.7	94.0	14.25	274.4	101.0	12.35	11.4	594.6999999999998	2.0	3.08	53.68	0.09026399865478395	1.0	0	cluster_2
NM	81.0	415.0	402-9304	0.0	0.0	0.0	173.2	80.0	29.44	236.2	94.0	20.08	240.2	84.0	10.81	11.8	661.3999999999999	6.0	3.19	63.52	0.09603870577562748	2.0	0	cluster_1
MT	106.0	510.0	392-6420	0.0	0.0	0.0	169.4	107.0	28.8	197.2	71.0	16.76	202.2	79.0	9.1	10.7	579.5	4.0	2.89	57.55	0.0993097497842968	1.0	0	cluster_1
AK	117.0	415.0	337-8078	0.0	0.0	0.0	181.5	95.0	30.86	205.1	88.0	17.43	204.0	82.0	9.18	14.7	605.3000000000002	9.0	3.97	61.44	0.10150338675037168	2.0	0	cluster_1
MO	101.0	415.0	394-1211	0.0	1.0	29.0	121.1	116.0	20.59	186.4	100.0	15.84	241.7	75.0	10.88	10.1	559.3000000000002	6.0	2.73	50.04	0.08946897908099406	0.0	0	cluster_2
MD	133.0	510.0	373-7974	0.0	0.0	0.0	295.0	141.0	50.15	223.6	101.0	19.01	229.4	109.0	10.32	12.9	760.9	4.0	3.48	82.96	0.10902878170587461	2.0	1	cluster_6
UT	116.0	415.0	380-2929	0.0	1.0	24.0	232.9	90.0	39.59	152.1	94.0	12.93	344.3	82.0	15.49	10.7	740.0	6.0	2.89	70.9	0.09581081081081082	1.0	0	cluster_4
AL	61.0	415.0	399-4094	0.0	1.0	20.0	254.4	133.0	43.25	161.7	96.0	13.74	251.4	91.0	11.31	10.5	678.0	4.0	2.84	71.14	0.10492625368731563	0.0	0	cluster_4
TN	63.0	415.0	374-6217	0.0	0.0	0.0	164.5	75.0	27.97	147.9	118.0	12.57	252.7	97.0	11.37	11.2	576.3	2.0	3.02	54.93	0.09531494013534618	0.0	0	cluster_1
RI	131.0	415.0	360-1776	0.0	0.0	0.0	112.8	133.0	19.18	199.4	116.0	16.95	142.7	105.0	6.42	10.1	465.0	5.0	2.73	45.28	0.09737634408602151	0.0	0	cluster_3
NY	150.0	415.0	421-6268	0.0	1.0	35.0	139.6	72.0	23.73	332.8	170.0	28.29	213.8	105.0	9.62	8.8	695.0	2.0	2.38	64.02	0.09211510791366906	2.0	0	cluster_4
UT	96.0	408.0	410-4023	0.0	1.0	26.0	145.8	108.0	24.79	192.2	89.0	16.34	165.1	96.0	7.43	9.9	513.0	2.0	2.67	51.23	0.0998635477582846	1.0	0	cluster_2
LA	117.0	408.0	335-4719	0.0	0.0	0.0	184.5	97.0	31.37	351.6	80.0	29.89	215.8	90.0	9.71	8.7	760.6000000000001	4.0	2.35	73.32	0.09639758085721796	1.0	0	cluster_1
NY	21.0	415.0	335-2274	0.0	0.0	0.0	244.7	81.0	41.6	168.0	117.0	14.28	281.5	87.0	12.67	6.6	700.8000000000002	1.0	1.78	70.33	0.10035673515981733	1.0	0	cluster_1
NV	81.0	415.0	395-5783	0.0	0.0	0.0	145.4	132.0	24.72	129.3	91.0	10.99	186.4	109.0	8.39	5.2	466.3	4.0	1.4	45.5	0.09757666738151405	1.0	0	cluster_3
VT	101.0	415.0	407-2292	0.0	0.0	0.0	153.8	89.0	26.15	234.0	89.0	19.89	196.3	77.0	8.83	11.6	595.7	2.0	3.13	58.0	0.09736444519053214	4.0	0	cluster_1
